,gid,pid,fgxp,dist,make,season,postseason,away,stadium,temp,humidity,wind-spd,cond,surface,player id,player
2514,4059,664155,FG,23,1,2015,0,0,M&T Bank Stadium,65,48,2,Mostly Sunny,MomentumTurf,JT-3950,Justin Tucker
2515,4060,664260,FG,42,1,2015,0,1,Lambeau Field,67,61,15,Clear,DD GrassMaster,GZ-2000,Greg Zuerlein
2516,4060,664293,FG,50,0,2015,0,1,Lambeau Field,67,61,15,Clear,DD GrassMaster,GZ-2000,Greg Zuerlein
2517,4060,664302,FG,53,0,2015,0,1,Lambeau Field,67,61,15,Clear,DD GrassMaster,GZ-2000,Greg Zuerlein
2518,4060,664330,FG,63,0,2015,0,1,Lambeau Field,67,61,15,Clear,DD GrassMaster,GZ-2000,Greg Zuerlein
2519,4060,664338,FG,35,1,2015,0,0,Lambeau Field,67,61,15,Clear,DD GrassMaster,MC-3000,Mason Crosby
2520,4061,664386,FG,21,1,2015,0,0,LP Field,67,58,5,Sunny,Grass,RS-3400,Ryan Succop
2521,4061,664468,FG,41,1,2015,0,0,LP Field,67,58,5,Sunny,Grass,RS-3400,Ryan Succop
2522,4062,664627,FG,40,1,2015,0,0,Ford Field,-999,-999,-999,Dome,FieldTurf,MP-2100,Matt Prater
2523,4063,664691,FG,49,1,2015,0,1,AT&T Stadium,-999,-999,-999,Closed Roof,AstroTurf,SG-0800,Stephen Gostkowski
2524,4063,664705,FG,51,1,2015,0,0,AT&T Stadium,-999,-999,-999,Closed Roof,AstroTurf,DB-0200,Dan Bailey
2525,4063,664754,FG,57,1,2015,0,1,AT&T Stadium,-999,-999,-999,Closed Roof,AstroTurf,SG-0800,Stephen Gostkowski
2526,4063,664786,FG,23,1,2015,0,0,AT&T Stadium,-999,-999,-999,Closed Roof,AstroTurf,DB-0200,Dan Bailey
2527,4063,664817,FG,34,1,2015,0,1,AT&T Stadium,-999,-999,-999,Closed Roof,AstroTurf,SG-0800,Stephen Gostkowski
2528,4064,664861,FG,38,0,2015,0,0,O.co Coliseum,72,59,10,Sunny,Grass,SJ-0300,Sebastian Janikowski
2529,4064,664869,FG,25,1,2015,0,1,O.co Coliseum,72,59,10,Sunny,Grass,BM-1650,Brandon McManus
2530,4064,664917,FG,20,1,2015,0,1,O.co Coliseum,72,59,10,Sunny,Grass,BM-1650,Brandon McManus
2531,4064,664928,FG,52,1,2015,0,1,O.co Coliseum,72,59,10,Sunny,Grass,BM-1650,Brandon McManus
2532,4064,664947,FG,40,0,2015,0,0,O.co Coliseum,72,59,10,Sunny,Grass,SJ-0300,Sebastian Janikowski
2533,4064,664987,FG,50,1,2015,0,0,O.co Coliseum,72,59,10,Sunny,Grass,SJ-0300,Sebastian Janikowski
2534,4065,665001,FG,43,1,2015,0,1,MetLife Stadium,61,59,4,Clear,UBU Speed Series S5M,PD-0200,Phil Dawson
2535,4065,665011,FG,22,1,2015,0,0,MetLife Stadium,61,59,4,Clear,UBU Speed Series S5M,JB-7100,Josh Brown
2536,4065,665053,FG,41,1,2015,0,0,MetLife Stadium,61,59,4,Clear,UBU Speed Series S5M,JB-7100,Josh Brown
2537,4065,665066,FG,22,1,2015,0,1,MetLife Stadium,61,59,4,Clear,UBU Speed Series S5M,PD-0200,Phil Dawson
2538,4065,665143,FG,24,1,2015,0,0,MetLife Stadium,61,59,4,Clear,UBU Speed Series S5M,JB-7100,Josh Brown
2539,4066,665225,FG,47,1,2015,0,1,Qualcomm Stadium,93,32,10,Partly Cloudy,Grass,CB-2275,Chris Boswell
2540,4066,665245,FG,60,0,2015,0,0,Qualcomm Stadium,93,32,10,Partly Cloudy,Grass,JL-0207,Josh Lambo
2541,4066,665284,FG,40,1,2015,0,0,Qualcomm Stadium,93,32,10,Partly Cloudy,Grass,JL-0207,Josh Lambo
2542,4066,665318,FG,54,1,2015,0,0,Qualcomm Stadium,93,32,10,Partly Cloudy,Grass,JL-0207,Josh Lambo
2543,4068,665552,FG,35,1,2015,0,0,MetLife Stadium,49,30,16,Clear,FieldTurf,NF-0300,Nick Folk
2544,4068,665576,FG,54,1,2015,0,1,MetLife Stadium,49,30,16,Clear,FieldTurf,DH-3970,Dustin Hopkins
2545,4068,665589,FG,30,1,2015,0,1,MetLife Stadium,49,30,16,Clear,FieldTurf,DH-3970,Dustin Hopkins
2546,4068,665598,FG,39,1,2015,0,0,MetLife Stadium,49,30,16,Clear,FieldTurf,NF-0300,Nick Folk
2547,4068,665643,FG,49,0,2015,0,0,MetLife Stadium,49,30,16,Clear,FieldTurf,NF-0300,Nick Folk
2548,4069,665725,FG,47,0,2015,0,1,Heinz Field,45,47,12,Partly Cloudy,Grass,CC-1150,Chandler Catanzaro
2549,4069,665732,FG,47,1,2015,0,0,Heinz Field,45,47,12,Partly Cloudy,Grass,CB-2275,Chris Boswell
